"Workflow","Category","Subject","UserStatus","Task","TaskStatus","FailureReason","CompletedUtc"
"Onboard pre-hire employee","joiner","Sarah Jenkins","failed","Grant baseline access","canceled",,"9/18/2026 11:33:17 PM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","failed","Send the welcome email","canceled",,"9/18/2026 11:33:17 PM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","failed","Enable the account","completed",,"9/18/2026 11:33:08 PM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","failed","Issue a Temporary Access Pass","failed","the mail attribute was missing for all of the provided email recipients","9/18/2026 11:33:16 PM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","completedWithErrors","Enable the account","completed",,"9/19/2026 12:03:23 AM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","completedWithErrors","Grant baseline access","completed",,"9/19/2026 12:03:29 AM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","completedWithErrors","Issue a Temporary Access Pass","failed","the mail attribute was missing for all of the provided email recipients","9/19/2026 12:03:36 AM"
"Onboard pre-hire employee","joiner","Sarah Jenkins","completedWithErrors","Send the welcome email","failed","manager email address is missing or invalid","9/19/2026 12:03:43 AM"
